serie,año,mes,fecha,pasajeros,conjunto,prediccion_hw,pi_low,pi_high,prediccion_reg
45,1952,9,1952-09,209.0,entrenamiento,217.3,,,205.7
46,1952,10,1952-10,191.0,entrenamiento,185.7,,,180.5
47,1952,11,1952-11,172.0,entrenamiento,165.5,,,158.4
48,1952,12,1952-12,194.0,entrenamiento,193.2,,,179.6
49,1953,1,1953-01,196.0,entrenamiento,199.9,,,185.0
50,1953,2,1953-02,196.0,entrenamiento,209.0,,,183.7
51,1953,3,1953-03,236.0,entrenamiento,226.3,,,212.7
52,1953,4,1953-04,235.0,entrenamiento,219.2,,,206.0
53,1953,5,1953-05,229.0,entrenamiento,230.1,,,207.3
54,1953,6,1953-06,243.0,entrenamiento,263.0,,,236.8
55,1953,7,1953-07,264.0,entrenamiento,270.2,,,264.5
56,1953,8,1953-08,272.0,entrenamiento,276.7,,,265.3
57,1953,9,1953-09,237.0,entrenamiento,240.5,,,232.8
58,1953,10,1953-10,211.0,entrenamiento,215.9,,,204.2
59,1953,11,1953-11,180.0,entrenamiento,189.8,,,179.2
60,1953,12,1953-12,201.0,entrenamiento,209.4,,,203.3
61,1954,1,1954-01,204.0,entrenamiento,209.8,,,209.3
62,1954,2,1954-02,188.0,entrenamiento,212.4,,,207.8
63,1954,3,1954-03,235.0,entrenamiento,240.8,,,240.7
64,1954,4,1954-04,227.0,entrenamiento,231.3,,,233.2
65,1954,5,1954-05,234.0,entrenamiento,224.3,,,234.6
66,1954,6,1954-06,264.0,entrenamiento,248.9,,,267.9
67,1954,7,1954-07,302.0,entrenamiento,278.8,,,299.3
68,1954,8,1954-08,293.0,entrenamiento,297.8,,,300.3
69,1954,9,1954-09,259.0,entrenamiento,259.1,,,263.5
70,1954,10,1954-10,229.0,entrenamiento,232.4,,,231.1
71,1954,11,1954-11,203.0,entrenamiento,200.8,,,202.8
72,1954,12,1954-12,229.0,entrenamiento,228.3,,,230.1
73,1955,1,1955-01,242.0,entrenamiento,234.0,,,236.9
74,1955,2,1955-02,233.0,entrenamiento,227.8,,,235.2
75,1955,3,1955-03,267.0,entrenamiento,289.2,,,272.4
76,1955,4,1955-04,269.0,entrenamiento,272.7,,,263.8
77,1955,5,1955-05,270.0,entrenamiento,274.7,,,265.5
78,1955,6,1955-06,315.0,entrenamiento,300.7,,,303.2
79,1955,7,1955-07,364.0,entrenamiento,339.0,,,338.7
80,1955,8,1955-08,347.0,entrenamiento,339.5,,,339.8
81,1955,9,1955-09,312.0,entrenamiento,302.1,,,298.2
82,1955,10,1955-10,274.0,entrenamiento,271.4,,,261.6
83,1955,11,1955-11,237.0,entrenamiento,240.1,,,229.5
84,1955,12,1955-12,278.0,entrenamiento,268.8,,,260.3
85,1956,1,1956-01,284.0,entrenamiento,283.6,,,268.1
86,1956,2,1956-02,277.0,entrenamiento,270.5,,,266.2
87,1956,3,1956-03,317.0,entrenamiento,321.5,,,308.2
88,1956,4,1956-04,313.0,entrenamiento,323.3,,,298.6
89,1956,5,1956-05,318.0,entrenamiento,322.2,,,300.5
90,1956,6,1956-06,374.0,entrenamiento,367.0,,,343.1
91,1956,7,1956-07,413.0,entrenamiento,415.0,,,383.3
92,1956,8,1956-08,405.0,entrenamiento,391.2,,,384.5
93,1956,9,1956-09,355.0,entrenamiento,351.7,,,337.4
94,1956,10,1956-10,306.0,entrenamiento,308.5,,,296.0
95,1956,11,1956-11,271.0,entrenamiento,267.1,,,259.8
96,1956,12,1956-12,306.0,entrenamiento,310.7,,,294.6
97,1957,1,1957-01,315.0,entrenamiento,315.2,,,303.4
98,1957,2,1957-02,301.0,entrenamiento,304.4,,,301.2
99,1957,3,1957-03,356.0,entrenamiento,348.5,,,348.8
100,1957,4,1957-04,348.0,entrenamiento,350.7,,,337.9
101,1957,5,1957-05,355.0,entrenamiento,356.7,,,340.0
102,1957,6,1957-06,422.0,entrenamiento,415.4,,,388.3
103,1957,7,1957-07,465.0,entrenamiento,461.9,,,433.8
104,1957,8,1957-08,467.0,entrenamiento,447.8,,,435.2
105,1957,9,1957-09,404.0,entrenamiento,397.1,,,381.8
106,1957,10,1957-10,347.0,entrenamiento,345.2,,,335.0
107,1957,11,1957-11,305.0,entrenamiento,304.4,,,294.0
108,1957,12,1957-12,336.0,entrenamiento,345.6,,,333.4
109,1958,1,1958-01,340.0,entrenamiento,351.9,,,343.3
110,1958,2,1958-02,318.0,entrenamiento,333.1,,,340.9
111,1958,3,1958-03,362.0,entrenamiento,384.0,,,394.8
112,1958,4,1958-04,348.0,entrenamiento,368.3,,,382.4
113,1958,5,1958-05,363.0,entrenamiento,368.5,,,384.8
114,1958,6,1958-06,435.0,entrenamiento,433.0,,,439.5
115,1958,7,1958-07,491.0,entrenamiento,476.6,,,490.9
116,1958,8,1958-08,505.0,entrenamiento,476.3,,,492.5
117,1958,9,1958-09,404.0,entrenamiento,418.5,,,432.1
118,1958,10,1958-10,359.0,entrenamiento,354.1,,,379.1
119,1958,11,1958-11,310.0,entrenamiento,312.5,,,332.7
120,1958,12,1958-12,337.0,entrenamiento,346.8,,,377.3
121,1959,1,1959-01,360.0,entrenamiento,351.6,,,388.5
122,1959,2,1959-02,342.0,entrenamiento,337.4,,,385.7
123,1959,3,1959-03,406.0,entrenamiento,394.3,,,446.7
124,1959,4,1959-04,396.0,entrenamiento,391.0,,,432.7
125,1959,5,1959-05,420.0,entrenamiento,411.8,,,435.5
126,1959,6,1959-06,472.0,entrenamiento,495.8,,,497.3
127,1959,7,1959-07,548.0,entrenamiento,543.1,,,555.5
128,1959,8,1959-08,559.0,entrenamiento,547.7,,,557.3
129,1959,9,1959-09,463.0,entrenamiento,447.1,,,489.0
130,1959,10,1959-10,407.0,entrenamiento,400.2,,,429.0
131,1959,11,1959-11,362.0,entrenamiento,348.6,,,376.5
132,1959,12,1959-12,405.0,entrenamiento,388.2,,,427.0
133,1960,1,1960-01,417.0,prueba,417.2,397.6,436.7,439.7
134,1960,2,1960-02,391.0,prueba,394.0,375.4,414.4,436.5
135,1960,3,1960-03,419.0,prueba,462.2,438.5,484.3,505.5
136,1960,4,1960-04,461.0,prueba,448.3,425.3,469.5,489.7
137,1960,5,1960-05,472.0,prueba,471.6,446.8,495.9,492.8
138,1960,6,1960-06,535.0,prueba,539.3,511.8,565.7,562.8
139,1960,7,1960-07,622.0,prueba,623.6,591.3,654.9,628.7
140,1960,8,1960-08,606.0,prueba,630.7,597.5,661.0,630.7
141,1960,9,1960-09,508.0,prueba,515.2,484.5,544.2,553.4
142,1960,10,1960-10,461.0,prueba,449.7,420.6,477.0,485.5
143,1960,11,1960-11,390.0,prueba,394.1,366.7,418.3,426.0
144,1960,12,1960-12,432.0,prueba,433.7,402.9,461.7,483.2
145,1961,1,1961-01,,prevision,446.6,410.3,478.1,497.6
146,1961,2,1961-02,,prevision,421.6,386.9,457.2,494.0
147,1961,3,1961-03,,prevision,494.4,454.9,530.2,572.1
148,1961,4,1961-04,,prevision,479.4,439.8,517.5,554.2
149,1961,5,1961-05,,prevision,504.1,462.2,540.2,557.7
150,1961,6,1961-06,,prevision,576.2,531.6,617.0,636.9
151,1961,7,1961-07,,prevision,666.0,617.3,707.7,711.4
152,1961,8,1961-08,,prevision,673.4,623.8,721.1,713.7
153,1961,9,1961-09,,prevision,549.8,504.8,593.3,626.2
154,1961,10,1961-10,,prevision,479.8,438.0,519.0,549.4
155,1961,11,1961-11,,prevision,420.3,381.7,456.2,482.1
156,1961,12,1961-12,,prevision,462.4,421.3,500.9,546.8
